Date	Close	High	Low	Open	Volume
2025-12-01	282.8353576660156	283.1550658399818	275.88187257202503	277.75011957449965	46587700
2025-12-02	285.9224548339844	287.1313151163589	282.36578537497866	282.7354345985028	53669500
2025-12-03	283.8843688964844	288.35019153510143	283.0351573834178	285.9324708384744	43538700
2025-12-04	280.4375915527344	284.46382276925783	278.32954829392816	283.83440686502166	43989100
2025-12-05	278.5193786621094	280.8771882481053	277.79005013345267	280.27774306596746	47265800
2025-12-08	277.6302185058594	279.4085531850005	275.8918244790692	277.86998437615557	38211800
2025-12-09	276.9208679199219	279.7682096639769	276.6611317163261	277.8999627322321	32193300
2025-12-10	278.5193786621094	279.48847306800184	276.1815698919154	277.490342786908	33038300
2025-12-11	277.77008056640625	279.3286197507982	273.5540244422053	278.83908758708685	33248000
2025-12-12	278.0198669433594	278.9589906850317	276.5612402656973	277.64021728323	39532900
2025-12-15	273.8537292480469	279.8880911943856	272.5849275039148	279.8880911943856	50409100
2025-12-16	274.353271484375	275.2424541197232	271.53593087885605	272.5649667835892	37648600
2025-12-17	271.58587646484375	275.90184538512057	271.38608172110213	274.75292651919426	50138700
2025-12-18	271.935546875	273.374203136776	266.7004552212896	273.35420232069225	51630700
2025-12-19	273.4141845703125	274.34330788170604	269.64768928264715	271.8955859651445	144632000
2025-12-22	270.7166748046875	273.62395794129594	270.25711338978425	272.6048920133635	36571800
2025-12-23	272.1053771972656	272.2452609569047	269.30800689497966	270.5868091030317	29642000
2025-12-24	273.55401611328125	275.17249671786806	271.9455359163183	272.085389177814	17910600
2025-12-26	273.1444091796875	275.1125687682936	272.6049054553	273.9037084592662	21521800
2025-12-29	273.50408935546875	274.10350406329195	272.0954038139857	272.4350823114352	23715200
2025-12-30	272.82470703125	273.82377221524894	272.02546707967076	272.5549704076282	22139600
2025-12-31	271.6058349609375	273.42414083736213	271.49595243002375	272.80472532736104	27293600
2026-01-02	270.75665283203125	277.58025431004916	268.7485221479618	272.0054842546519	37838100
2026-01-05	267.0101623535156	271.25618925068443	265.89121426121545	270.38700744645297	45647200
2026-01-06	262.1147155761719	267.2998660934885	261.8749496989937	266.7503924619391	52352100
2026-01-07	260.08660888671875	263.4334831315393	259.56710600115036	262.95395138764474	48309800
2026-01-08	258.7978515625	259.0476178563403	255.46096229095477	256.7797203952787	50419300
2026-01-09	259.1275329589844	259.9667440583015	255.98048371428257	258.8377955175017	39997000
2026-01-12	260.0067138671875	261.05572011368304	256.5599267903311	258.9177364764393	45263800
2026-01-13	260.8059387207031	261.56523797230057	258.148452318208	258.4781303943212	45730800
2026-01-14	259.71697998046875	261.57525710051715	256.4700180914029	259.247418118488	40019400
2026-01-15	257.9685974121094	260.7959687899761	256.8096782083212	260.40631875644857	39388600
2026-01-16	255.29112243652344	258.6579671912775	254.69167723491495	257.6589020182799	72142800
2026-01-20	246.46937561035156	254.55180921698133	243.1924430560896	252.49373739571587	80267500
2026-01-21	247.41848754882812	251.3248360900433	244.9507953165175	248.46750904444812	54641700
2026-01-22	248.1178436279297	250.76536025794263	247.9180183962477	248.9670398844787	39708300
2026-01-23	247.80812072753903	249.17685039145397	244.45126111041233	247.0888078223564	41689000
2026-01-26	255.17123413085935	256.32015295784896	249.5664780183616	251.24490015634893	55969200
2026-01-27	258.0285339355469	261.70511669708895	257.96859246831417	258.92771692213245	49648300
2026-01-28	256.2002868652344	258.61800761819165	254.27208306792676	257.409147241713	41288000
2026-01-29	258.0385437011719	259.4072580677027	254.17216647920577	257.75880668092503	67253000
2026-01-30	259.2374267578125	261.6551472598355	251.94423313215475	254.9314433110553	92443400
2026-02-02	269.7575988769531	270.2371306501278	258.9676766447768	259.7869174093499	73913400
2026-02-03	269.22808837890625	271.6258386480508	267.3598109321867	268.9483513556569	64394700
2026-02-04	276.23150634765625	278.68922850453845	272.03545112075	272.03545112075	90545700
2026-02-05	275.6520690917969	279.2387093202658	272.97458180817284	277.86999494352693	52977400
2026-02-06	277.8599853515625	280.6473855638201	276.67109542368036	276.8609202349588	50453400
2026-02-09	274.6199951171875	278.20001220703125	271.70001220703125	277.9100036621094	44623400
2026-02-10	273.67999267578125	275.3699951171875	272.94000244140625	274.8900146484375	34376900
2026-02-11	275.5	280.17999267578125	274.45001220703125	274.70001220703125	51931300
2026-02-12	261.7300109863281	275.7200012207031	260.17999267578125	275.5899963378906	81077200
2026-02-13	255.77999877929688	262.2300109863281	255.4499969482422	262.010009765625	56229900
